,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1
0,692-92-5582,B,Abuja,Member,Female,Food and beverages,19742.4,3,2961.36,62188.55999999999,2/20/2019,13:27,Card,59227.2,4.761904762,2961.36,5.9,,,,,
1,351-62-0822,B,Abuja,Member,Female,Fashion accessories,5212.8,4,1042.5600000000002,21893.76,2/6/2019,18:07,Epay,20851.2,4.761904762,1042.5600000000002,4.5,,,,,
2,529-56-3974,B,Abuja,Member,Male,Electronic accessories,9183.6,4,1836.72,38571.12,3/9/2019,17:03,Cash,36734.4,4.761904762,1836.72,6.8,,,,,
3,299-46-1805,B,Abuja,Member,Female,Sports and travel,33739.2,6,10121.76,212556.96,1/15/2019,16:19,Cash,202435.2,4.761904762,10121.76,4.5,,,,,
4,319-50-3348,B,Abuja,Normal,Female,Home and lifestyle,14507.999999999998,2,1450.8000000000002,30466.8,3/11/2019,15:30,Epay,29016.0,4.761904762,1450.8000000000002,4.4,,,,,
5,371-85-5789,B,Abuja,Normal,Male,Health and beauty,31672.800000000003,3,4750.92,99769.32,3/5/2019,10:40,Epay,95018.4,4.761904762,4750.92,5.1,,,,,
6,273-16-6619,B,Abuja,Normal,Male,Home and lifestyle,11952.000000000002,2,1195.2,25099.2,3/15/2019,12:20,Card,23904.000000000004,4.761904762,1195.2,4.4,,,,,
7,649-29-6775,B,Abuja,Normal,Male,Fashion accessories,12067.2,1,603.36,12670.56,2/8/2019,15:31,Cash,12067.2,4.761904762,603.36,6.7,,,,,
8,145-94-9061,B,Abuja,Normal,Female,Food and beverages,31809.6,5,7952.4,167000.4,1/25/2019,19:48,Cash,159048.0,4.761904762,7952.4,9.6,,,,,
9,871-79-8483,B,Abuja,Normal,Male,Fashion accessories,33886.8,5,8471.699999999999,177905.7,2/25/2019,19:39,Card,169434.0,4.761904762,8471.699999999999,4.8,,,,,
10,149-71-6266,B,Abuja,Member,Male,Sports and travel,28105.2,9,12647.34,265594.14,1/28/2019,12:43,Cash,252946.8,4.761904762,12647.34,4.5,,,,,
11,640-49-2076,B,Abuja,Normal,Male,Sports and travel,30160.8,8,12064.32,253350.72,1/10/2019,14:49,Cash,241286.4,4.761904762,12064.32,5.1,,,,,
12,777-82-7220,B,Abuja,Member,Male,Home and lifestyle,10843.2,8,4337.28,91082.88,3/3/2019,13:01,Cash,86745.6,4.761904762,4337.28,7.7,,,,,
13,280-35-5823,B,Abuja,Member,Female,Home and lifestyle,31219.2,1,1560.96,32780.16,1/17/2019,18:45,Epay,31219.2,4.761904762,1560.96,7.9,,,,,
14,354-25-5821,B,Abuja,Member,Female,Sports and travel,24883.2,6,7464.96,156764.15999999997,2/8/2019,13:03,Cash,149299.2,4.761904762,7464.96,5.6,,,,,
15,132-32-9879,B,Abuja,Member,Female,Electronic accessories,33825.6,4,6765.120000000001,142067.52,3/9/2019,18:00,Cash,135302.4,4.761904762,6765.120000000001,9.5,,,,,
16,370-41-7321,B,Abuja,Member,Male,Health and beauty,20408.4,9,9183.78,192859.38,2/27/2019,17:24,Card,183675.6,4.761904762,9183.78,8.4,,,,,
17,727-46-3608,B,Abuja,Member,Female,Food and beverages,7203.6,9,3241.62,68074.02,2/6/2019,15:47,Epay,64832.4,4.761904762,3241.62,4.1,,,,,
18,669-54-1719,B,Abuja,Member,Male,Electronic accessories,6814.8,6,2044.44,42933.24,2/10/2019,12:45,Card,40888.8,4.761904762,2044.44,8.1,,,,,
19,616-24-2851,B,Abuja,Member,Female,Fashion accessories,6433.200000000001,4,1286.64,27019.44,3/22/2019,14:42,Epay,25732.800000000003,4.761904762,1286.64,6.5,,,,,
20,242-55-6721,B,Abuja,Normal,Male,Home and lifestyle,5817.6,2,581.76,12216.96,3/7/2019,11:49,Epay,11635.2,4.761904762,581.76,6.5,,,,,
21,347-34-2234,B,Abuja,Member,Female,Sports and travel,19825.2,9,8921.34,187348.14,2/3/2019,13:40,Epay,178426.8,4.761904762,8921.34,10.0,,,,,
22,853-23-2453,B,Abuja,Member,Male,Health and beauty,27266.4,4,5453.28,114518.88,2/14/2019,14:35,Cash,109065.6,4.761904762,5453.28,7.6,,,,,
23,109-28-2512,B,Abuja,Member,Female,Fashion accessories,35139.6,6,10541.88,221379.48,1/7/2019,15:01,Epay,210837.6,4.761904762,10541.88,9.9,,,,,
24,510-95-6347,B,Abuja,Member,Female,Food and beverages,17467.2,3,2620.08,55021.68,3/5/2019,18:17,Epay,52401.6,4.761904762,2620.08,4.0,,,,,
25,847-38-7188,B,Abuja,Normal,Female,Food and beverages,34804.8,3,5220.72,109635.12,1/26/2019,19:56,Epay,104414.4,4.761904762,5220.72,6.4,,,,,
26,318-68-5053,B,Abuja,Normal,Female,Health and beauty,27716.4,6,8314.92,174613.31999999998,2/27/2019,17:55,Cash,166298.4,4.761904762,8314.92,6.1,,,,,
27,152-08-9985,B,Abuja,Member,Male,Health and beauty,23169.6,9,10426.32,218952.72,3/12/2019,12:09,Card,208526.4,4.761904762,10426.32,8.6,,,,,
28,766-85-7061,B,Abuja,Normal,Male,Health and beauty,31633.2,10,15816.6,332148.6,3/29/2019,10:25,Epay,316332.0,4.761904762,15816.6,5.1,,,,,
29,733-01-9107,B,Abuja,Normal,Male,Home and lifestyle,29772.0,6,8931.6,187563.6,3/5/2019,18:14,Cash,178632.0,4.761904762,8931.6,7.4,,,,,
30,716-39-1409,B,Abuja,Normal,Male,Health and beauty,10926.0,7,3824.1,80306.09999999999,3/19/2019,18:19,Cash,76482.0,4.761904762,3824.1,8.0,,,,,
31,479-26-8945,B,Abuja,Member,Female,Sports and travel,5936.4,2,593.64,12466.44,2/5/2019,11:32,Epay,11872.8,4.761904762,593.64,4.6,,,,,
32,227-78-1148,B,Abuja,Normal,Female,Fashion accessories,26222.4,7,9177.84,192734.64,2/15/2019,12:44,Cash,183556.8,4.761904762,9177.84,8.4,,,,,
33,291-32-1427,B,Abuja,Member,Male,Fashion accessories,7898.400000000001,5,1974.6,41466.6,3/5/2019,12:29,Epay,39492.0,4.761904762,1974.6,5.3,,,,,
34,659-65-8956,B,Abuja,Member,Male,Fashion accessories,18489.6,1,924.48,19414.08,1/16/2019,15:26,Epay,18489.6,4.761904762,924.48,5.2,,,,,
35,378-24-2715,B,Abuja,Normal,Male,Home and lifestyle,19238.4,2,1923.84,40400.64,1/20/2019,20:38,Epay,38476.8,4.761904762,1923.84,4.1,,,,,
36,219-22-9386,B,Abuja,Member,Male,Sports and travel,35985.6,9,16193.52,340063.92,3/9/2019,17:26,Card,323870.4,4.761904762,16193.52,4.2,,,,,
37,268-27-6179,B,Abuja,Member,Female,Fashion accessories,20329.2,8,8131.68,170765.28,3/9/2019,14:57,Epay,162633.6,4.761904762,8131.68,7.3,,,,,
